,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
623,CryptoNight,PoW,9357088.0,25000000
625,X11,PoW/PoS,0.0,250000000
626,Lyra2RE,PoW,1876146.443596,9999999
632,X13,PoW/PoS,0.0,450000000
638,PoS,PoS,0.0,100000000
639,Scrypt,PoW/PoS,23965372.0,500000000
640,SHA-256,PoW/PoS,2526078.47525448,21000000
642,X11,PoW/PoS,5659096.95728771,9354000
643,X11,PoW/PoS,0.0,100000000
650,X11,PoW,0.0,100640000
652,Scrypt,PoW/PoS,11821728.0,20000000
653,X11,PoW,536982074.0,100000000000
654,Scrypt,PoW/PoS,308179.0,21933333
658,Scrypt,PoW,0.0,20000000
662,CryptoNight-V7,PoW,10969318.522954,185000000
663,Scrypt,PoS,2922613.96424908,55000000
664,Scrypt,PoW/PoS ,110000000.0,110000000
673,Keccak,PoW,0.0,115000000
674,Scrypt,PoW,3115258.0,3360000
675,X13,PoS,14524851.4827,14524851.4827
679,X11,PoW,30385540.0,1000000000
681,Equihash,PoW,6921653.89980891,17000000
682,Scrypt,PoW/PoS,1000000000.0,1000000000
683,Scrypt,PoW,99843408.3158479,100000000 
684,Lyra2RE,PoW,18545757.5,21000000
687,Ethash,PoW,0.0,454898394
693,X11,PoW,0.0,210000000
694,Scrypt,PoS,36050365.0,34426423
695,Dagger-Hashimoto,PoW,2232901.0,2232901
696,X11,PoW/PoS,13162749.0858027,100000000
698,Blake2S,PoW/PoS,12184195.9258495,36900000
699,X11,PoW/PoS,110630387.850471,110000000
703,Scrypt,PoW,64096052.0,4000000000
707,Scrypt,PoS,0.0,112000000
711,PoS,PoS,111135836.889,110290030
712,X11,PoW/PoS,21521322.0099142,100000000
713,NIST5,PoW,10123200.0,48252000
714,PoS,PoS,401421401.0,400000000
715,X11,PoW/PoS,121665451.643876,500000000
717,Scrypt,PoW/PoS,5368934.0,21212121
718,Scrypt,PoW/PoS,1148324.0,28600000
719,Scrypt,PoW/PoS,500000.0,1000000000
720,Scrypt,PoW,0.0,21000000
721,SHA-256,PoS,100545745.0,75000000000
722,X11,PoW/PoS,17171382.0,40000000
723,Scrypt,PoW,20276099.146524,35520400
724,Scrypt,PoW,0.0,1000000
725,Scrypt,PoS,295135466.361878,2000000000
726,SHA-256,PoW,1317747500.0,2500000000
728,PoS,PoS,11390225.9742772,30000000
732,Scrypt,PoW/PoS,21358764.0,105000000
733,X11,PoW/PoS,0.0,2093500000
737,X15,PoW/PoS,40659020000.0,90000000000
739,SHA-256,PoS,10343113.0,200084200
742,Scrypt,PoW,13673406.4325268,72000000
745,POS 3.0,PoS,100000000.0,100000000
747,CryptoNight-V7,PoW,69036016.8340164,105000000
748,536,PoW/PoS,22801882871.0,50000000000
749,Argon2d,PoW,19784224.6512734,0
750,Blake2b,PoW,133248297.0,340282367
751,Cloverhash,PoW,18407259.0885883,30000000
752,CryptoNight,PoW,1809467143.0,2000000000
753,NIST5,PoW/PoS,4171382.0,10000000
754,X11,PoW,35138975.0,100000000
755,NIST5,PoW/PoS,62942075.0,120000000
756,Skein,PoW/PoS,6804362.0,100000000
757,Scrypt,PoW,18133195.0,19276800
758,X13,PoW/PoS,21268092.0,30000000
759,Scrypt,PoW,5167775.0, 75000000
760,X11,PoW/PoS,0.0,7905634
761,X11,PoW,26042364.3735553,60000000
764,X11,PoW,2622886.0,18900000
765,Scrypt,PoW/PoS,9044930943.24243,50000000000
766,CryptoNight,PoW,14161803.0,54000000
767,X13,PoW/PoS,21917018.0492836,18898187.6216583
768,Time Travel,PoW,17801865.1605478,21000000
